1738
868 627 870 
874 853 852 
874 851 853 
851 874 850 
843 866 842 
866 844 868 
845 866 843 
866 845 844 
844 31 868 
872 857 855 
854 873 872 
854 872 855 
866 867 842 
862 841 878 
860 841 862 
874 876 850 
856 872 870 
811 856 870 
856 857 872 
875 874 852 
430 627 868 
341 430 868 
846 0 844 
0 31 844 
880 865 863 
862 880 863 
880 862 878 
840 860 839 
860 840 841 
876 61 850 
568 876 878 
687 718 870 
780 811 870 
780 812 811 
858 856 811 
812 858 811 
627 512 597 
430 512 627 
864 880 881 
880 864 865 
30 848 850 
61 30 850 
627 658 870 
658 687 870 
718 749 870 
749 780 870 
858 826 860 
93 124 868 
155 186 868 
124 155 868 
310 341 868 
279 310 868 
248 279 868 
1 0 846 
2 1 846 
836 837 860 
833 834 860 
247 876 278 
512 598 597 
31 62 868 
62 93 868 
0 32 31 
1 32 0 
186 217 868 
217 248 868 
860 838 839 
837 838 860 
835 836 860 
834 835 860 
216 185 876 
247 216 876 
92 61 876 
123 92 876 
185 154 876 
154 123 876 
24 23 848 
841 810 878 
810 779 878 
840 810 841 
748 717 878 
779 748 878 
657 626 878 
717 686 878 
686 657 878 
658 688 687 
826 827 860 
817 785 786 
310 342 341 
156 155 124 
806 837 836 
54 23 24 
28 27 848 
25 24 848 
421 420 392 
371 340 876 
340 371 370 
429 400 876 
400 371 876 
596 568 878 
626 596 878 
596 595 568 
687 719 718 
688 719 687 
628 658 627 
628 688 658 
628 627 597 
688 628 689 
659 690 689 
780 781 812 
749 781 780 
813 858 812 
781 813 812 
562 561 534 
673 645 674 
645 673 644 
832 833 860 
831 832 860 
829 830 860 
830 831 860 
830 800 831 
828 829 860 
827 828 860 
788 789 820 
790 789 758 
789 757 758 
757 789 788 
754 755 786 
785 754 786 
815 816 858 
816 817 858 
817 816 785 
818 817 786 
817 818 858 
759 790 758 
825 826 858 
789 821 820 
821 789 790 
820 821 858 
823 791 792 
759 791 790 
311 310 279 
311 342 310 
342 311 343 
848 15 846 
93 125 124 
125 156 124 
156 125 157 
155 187 186 
156 187 155 
848 20 19 
21 20 848 
54 53 23 
30 29 848 
29 28 848 
27 26 848 
26 25 848 
420 391 392 
391 420 419 
390 391 419 
273 272 242 
876 309 278 
340 309 876 
536 507 508 
563 536 564 
568 540 876 
540 511 876 
399 398 370 
371 399 370 
400 399 371 
399 427 398 
456 429 876 
484 511 510 
483 484 510 
456 484 483 
511 484 876 
484 456 876 
569 598 512 
372 342 343 
342 372 341 
720 688 689 
720 719 688 
719 720 751 
720 752 751 
598 629 597 
629 628 597 
629 659 689 
628 629 689 
750 781 749 
750 749 718 
719 750 718 
750 719 751 
782 813 781 
782 750 751 
750 782 781 
721 690 722 
720 721 752 
